"filename", "language", "XML", "JavaScript", "PHP", "HTML", "SCSS", "JSON", "CSS", "Markdown", "YAML", "comment", "blank", "total"
"d:\Mostafa\Dotworks App\resources\js\user_panel\orders\deliver.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 0, 0, 9, 21, 118
"d:\Mostafa\Dotworks App\resources\js\user_panel\orders\index.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 10, 77
"d:\Mostafa\Dotworks App\resources\js\user_panel\profile\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Mostafa\Dotworks App\resources\js\user_panel\profile\information.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 7, 24
"d:\Mostafa\Dotworks App\resources\js\user_panel\profile\languages.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 12, 92
"d:\Mostafa\Dotworks App\resources\js\user_panel\profile\skills.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 14, 95
"d:\Mostafa\Dotworks App\resources\js\user_panel\profile\slides.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 12, 88
"d:\Mostafa\Dotworks App\resources\js\user_panel\services\datatable.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 15, 7, 109
"d:\Mostafa\Dotworks App\resources\js\user_panel\services\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Mostafa\Dotworks App\resources\js\user_panel\services\serviceForm.js", "JavaScript", 0, 199, 0, 0, 0, 0, 0, 0, 0, 16, 52, 267
"d:\Mostafa\Dotworks App\resources\js\user_panel\wallet\datatable.js", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 0, 16, 8, 121
"d:\Mostafa\Dotworks App\resources\js\user_panel\wallet\index.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Mostafa\Dotworks App\resources\js\utils\ImagePreviewer.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"d:\Mostafa\Dotworks App\resources\js\utils\Toast.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 10, 44
"d:\Mostafa\Dotworks App\resources\js\utils\helpers.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 2, 13
"d:\Mostafa\Dotworks App\resources\lang\ar.json", "JSON", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 1, 55
