Date : 2022-04-12 23:18:06
Directory : d:\Mostafa\Dotworks App
Total : 355 files,  259810 codes, 68701 comments, 51591 blanks, all 380102 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| resources\views\frontend\user_panel\profile                                                                 |          5 |        683 |          0 |         44 |        727 |
| resources\views\frontend\user_panel\services                                                                |          3 |        548 |          0 |         33 |        581 |
| resources\views\frontend\user_panel\wallet                                                                  |          5 |      1,051 |          0 |          9 |      1,060 |
| resources\views\frontend\user_panel\wallet\deposit                                                          |          3 |        389 |          0 |          5 |        394 |
| routes                                                                                                      |          4 |         94 |        152 |         30 |        276 |
| tests                                                                                                       |          4 |         41 |         15 |         19 |         75 |
| tests\Feature                                                                                               |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                  |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                      |          2 |         17 |         27 |          1 |         45 |
| vendor\facade                                                                                               |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition                                                                                      |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources                                                                            |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources\compiled                                                                   |          2 |         17 |         27 |          1 |         45 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Mostafa\Dotworks App\.idea\blog.iml                                                                      | XML        |        130 |          0 |          0 |        130 |
| d:\Mostafa\Dotworks App\.idea\discord.xml                                                                   | XML        |          7 |          0 |          0 |          7 |
| d:\Mostafa\Dotworks App\.idea\modules.xml                                                                   | XML        |          8 |          0 |          0 |          8 |
| d:\Mostafa\Dotworks App\.idea\php.xml                                                                       | XML        |        131 |          0 |          0 |        131 |
| d:\Mostafa\Dotworks App\.idea\phpunit.xml                                                                   | XML        |         11 |          0 |          0 |         11 |
| d:\Mostafa\Dotworks App\.idea\vcs.xml                                                                       | XML        |          6 |          0 |          0 |          6 |
| d:\Mostafa\Dotworks App\.idea\workspace.xml                                                                 | XML        |        400 |          0 |          0 |        400 |
| d:\Mostafa\Dotworks App\.styleci.yml                                                                        | YAML       |         13 |          0 |          1 |         14 |
